city_village,count,inv_rank,address,lon,lat
Sanfebagar Municipality,11070,1,Sanfebagar Municipality   Achham   Nepal,81.2188355,29.2105258
Mangalsen Municipality,4361,2,Mangalsen Municipality   Achham   Nepal,81.2518833,29.0396219
Baradadivi,2540,3,Baradadivi   Achham   Nepal,81.28999999999999,29.21
Barhabis,2196,4,Barhabis   Achham   Nepal,81.2518833,29.0396219
Payal,1659,5,Payal   Achham   Nepal,81.19,29.17
Darna,1645,6,Darna   Achham   Nepal,81.34,29.19
Kalika,1593,7,Kalika   Achham   Nepal,81.3,29.18
Lungra,1528,8,Lungra   Achham   Nepal,81.16,29.21
Ghughurkot,1464,9,Ghughurkot   Achham   Nepal,81.2518833,29.0396219
Nandegada,1423,10,Nandegada   Achham   Nepal,81.28333300000001,29.233333
Kuldeumadau,1287,11,Kuldeumadau   Achham   Nepal,81.2518833,29.0396219
Janalikot,1257,12,Janalikot   Achham   Nepal,81.25999999999999,29.19
Kushkot,1199,13,Kushkot   Achham   Nepal,81.28,29.29
Kailashmandau,1165,14,Kailashmandau   Achham   Nepal,81.2518833,29.0396219
Hatikot,979,15,Hatikot   Achham   Nepal,81.25,29.27
Timilsain,968,16,Timilsain   Achham   Nepal,81.27,29.18
Gajara,910,17,Gajara   Achham   Nepal,81.25999999999999,29.21
Badhimalika Municipality,899,18,Badhimalika Municipality   Achham   Nepal,81.2518833,29.0396219
Bindhyawasini,886,19,Bindhyawasini   Achham   Nepal,81.3,29.27
Babala,851,20,Babala   Achham   Nepal,81.24,29.32
Shodasa,771,21,Shodasa   Achham   Nepal,81.2518833,29.0396219
Marku,755,22,Marku   Achham   Nepal,81.14,29.24
Bramhatola,707,23,Bramhatola   Achham   Nepal,81.2518833,29.0396219
Budhakot,685,24,Budhakot   Achham   Nepal,81.17999999999999,29.27
Batulasen,641,25,Batulasen   Achham   Nepal,81.44,29.17
Dipayal Silgadhi Municipality,609,26,Dipayal Silgadhi Municipality   Achham   Nepal,81.2518833,29.0396219
Ramarosan,578,27,Ramarosan   Achham   Nepal,81.46,29.23
Bhatakatiya,569,28,Bhatakatiya   Achham   Nepal,81.39999999999999,29.23
Sutar,527,29,Sutar   Achham   Nepal,81.36999999999999,29.2
Devisthan,506,30,Devisthan   Achham   Nepal,81.2,29.31
Gudukhati,506,30,Gudukhati   Achham   Nepal,81.2518833,29.0396219
Toli,495,31,Toli   Achham   Nepal,81.41669999999999,29.1167
Sanagau,472,32,Sanagau   Achham   Nepal,81.2518833,29.0396219
Kalagaun,469,33,Kalagaun   Achham   Nepal,81.3426916,29.1465181
Kadamadaun,440,34,Kadamadaun   Achham   Nepal,81.2518833,29.0396219
Patalkot,433,35,Patalkot   Achham   Nepal,81.14,29.27
Santada,405,36,Santada   Achham   Nepal,81.39999999999999,29.17
Ladagada,391,37,Ladagada   Achham   Nepal,81.2518833,29.0396219
Thanti,387,38,Thanti   Achham   Nepal,81.2518833,29.0396219
Risidaha,386,39,Risidaha   Achham   Nepal,81.2518833,29.0396219
Khirsain,379,40,Khirsain   Achham   Nepal,81.2518833,29.0396219
Siudi,377,41,Siudi   Achham   Nepal,81.11,29.15
Malatikot,367,42,Malatikot   Achham   Nepal,81.3564411,29.14452309999999
Pokhari,348,43,Pokhari   Achham   Nepal,81.2518833,29.0396219
Bannatoli,304,44,Bannatoli   Achham   Nepal,81.3234382,29.1308461
Duni,304,44,Duni   Achham   Nepal,81.11666699999999,29.266667
Khaptad,276,45,Khaptad   Achham   Nepal,81.1974621,29.2501601
Chhatara,267,46,Chhatara   Achham   Nepal,81.2518833,29.0396219
Binayak,250,47,Binayak   Achham   Nepal,81.3894297,29.1120292
Kuika,244,48,Kuika   Achham   Nepal,81.3674389,29.0990696
Sokat,238,49,Sokat   Achham   Nepal,81.2518833,29.0396219
Birpath,223,50,Birpath   Achham   Nepal,81.3234382,29.0962237
Ganjari,222,51,Ganjari   Achham   Nepal,81.2518833,29.0396219
Hichma,202,52,Hichma   Achham   Nepal,81.22,29.02
Kada,201,53,Kada   Achham   Nepal,81.2518833,29.0396219
Atichaur,198,54,Atichaur   Achham   Nepal,81.2518833,29.0396219
Kamal Bazar,195,55,Kamal Bazar   Achham   Nepal,81.34741629999999,29.0766856
Dogadi,193,56,Dogadi   Achham   Nepal,81.2518833,29.0396219
Pandusain,189,57,Pandusain   Achham   Nepal,81.2518833,29.0396219
Chaphamandau,185,58,Chaphamandau   Achham   Nepal,81.383333,29.166667
Dahakot,179,59,Dahakot   Achham   Nepal,81.2518833,29.0396219
Basti,171,60,Basti   Achham   Nepal,81.17999999999999,29.06
Jayabageswori,170,61,Jayabageswori   Achham   Nepal,81.2518833,29.0396219
Dhakari,166,62,Dhakari   Achham   Nepal,81.27,29.0
Dhungachalna,159,63,Dhungachalna   Achham   Nepal,81.27,28.95
Gaihragau,140,64,Gaihragau   Achham   Nepal,81.2518833,29.0396219
Dhodasain,131,65,Dhodasain   Achham   Nepal,81.31,29.02
Kolti,131,65,Kolti   Achham   Nepal,81.2518833,29.0396219
Turmakhad,125,66,Turmakhad   Achham   Nepal,81.36666699999999,28.933333
Bagalek,122,67,Bagalek   Achham   Nepal,81.2518833,29.0396219
Jukot,100,68,Jukot   Achham   Nepal,81.2518833,29.0396219
Manakot,95,69,Manakot   Achham   Nepal,81.2518833,29.0396219
Kalikasthan,91,70,Kalikasthan   Achham   Nepal,81.42,29.06
Wai,84,71,Wai   Achham   Nepal,81.2518833,29.0396219
Budhiganga,82,72,Budhiganga   Achham   Nepal,81.2518833,29.0396219
Martadi,81,73,Martadi   Achham   Nepal,81.2518833,29.0396219
Nada,81,73,Nada   Achham   Nepal,81.33,28.94
Mangalsen,76,74,Mangalsen   Achham   Nepal,81.22985299999999,29.1074324
Muli,76,74,Muli   Achham   Nepal,81.2518833,29.0396219
Jugada,70,75,Jugada   Achham   Nepal,81.2518833,29.0396219
Balanta,68,76,Balanta   Achham   Nepal,81.2518833,29.0396219
Sera,68,76,Sera   Achham   Nepal,81.28,29.06
Chalsa,66,77,Chalsa   Achham   Nepal,81.39,29.06
Kalekanda,66,77,Kalekanda   Achham   Nepal,81.52,29.11999999999999
Khatiwada,66,77,Khatiwada   Achham   Nepal,81.2518833,29.0396219
Toleni,66,77,Toleni   Achham   Nepal,81.2518833,29.0396219
Kalena,65,78,Kalena   Achham   Nepal,81.2518833,29.0396219
Kotila,65,78,Kotila   Achham   Nepal,81.2518833,29.0396219
Tosi,64,79,Tosi   Achham   Nepal,81.36999999999999,28.99
Dhangadhi Municipality,62,80,Dhangadhi Municipality   Achham   Nepal,81.2518833,29.0396219
Oligaun,61,81,Oligaun   Achham   Nepal,81.27941229999999,29.1395202
Dhamali,60,82,Dhamali   Achham   Nepal,81.36999999999999,29.00999999999999
Pulletala,60,82,Pulletala   Achham   Nepal,81.45,29.14
Barala,59,83,Barala   Achham   Nepal,81.2518833,29.0396219
Mashtanamdali,58,84,Mashtanamdali   Achham   Nepal,81.3,29.033333
Daud,57,85,Daud   Achham   Nepal,81.2518833,29.0396219
Bhairabsthan,54,86,Bhairabsthan   Achham   Nepal,81.43333299999999,28.916667
Baddhu,51,87,Baddhu   Achham   Nepal,81.2518833,29.0396219
Gajari,51,87,Gajari   Achham   Nepal,81.2518833,29.0396219
Shree Nagar,47,88,Shree Nagar   Achham   Nepal,81.2518833,29.0396219
Tikapur Municipality,47,88,Tikapur Municipality   Achham   Nepal,81.2518833,29.0396219
Sappata,46,89,Sappata   Achham   Nepal,81.2518833,29.0396219
Dhaku,45,90,Dhaku   Achham   Nepal,81.33,29.07
Raniban,45,90,Raniban   Achham   Nepal,81.39999999999999,28.98
Mudabhara,44,91,Mudabhara   Achham   Nepal,81.2518833,29.0396219
Bayala,39,92,Bayala   Achham   Nepal,81.39,29.04
Kumalgaun,39,92,Kumalgaun   Achham   Nepal,81.2518833,29.0396219
Sinhasain,39,92,Sinhasain   Achham   Nepal,81.2518833,29.0396219
Banja Kakani,38,93,Banja Kakani   Achham   Nepal,81.2518833,29.0396219
Gotree,36,94,Gotree   Achham   Nepal,81.2518833,29.0396219
Malkot,35,95,Malkot   Achham   Nepal,81.2518833,29.0396219
Rugin,35,95,Rugin   Achham   Nepal,81.2518833,29.0396219
Tikhatar,35,95,Tikhatar   Achham   Nepal,81.2518833,29.0396219
Layati,34,96,Layati   Achham   Nepal,81.44,29.08
Bichhaiya,31,97,Bichhaiya   Achham   Nepal,81.2518833,29.0396219
Jagannath,31,97,Jagannath   Achham   Nepal,81.2518833,29.0396219
Maila,29,98,Maila   Achham   Nepal,81.2518833,29.0396219
Kuntibandali,28,99,Kuntibandali   Achham   Nepal,81.19679579999999,29.1167991
Rupsa,28,99,Rupsa   Achham   Nepal,81.2518833,29.0396219
Janalibandali,27,100,Janalibandali   Achham   Nepal,81.2849169,29.099491
Patmara,27,100,Patmara   Achham   Nepal,81.2518833,29.0396219
Bhimdatta Municipality,26,101,Bhimdatta Municipality   Achham   Nepal,81.2518833,29.0396219
Madana,23,102,Madana   Achham   Nepal,81.2518833,29.0396219
Ridikot,23,102,Ridikot   Achham   Nepal,81.216667,29.216667
Chaumala,22,103,Chaumala   Achham   Nepal,81.2518833,29.0396219
Chandika,21,104,Chandika   Achham   Nepal,81.22999999999999,29.19
Attariya,20,105,Attariya   Achham   Nepal,81.2518833,29.0396219
Gaguda,20,105,Gaguda   Achham   Nepal,81.2518833,29.0396219
Kapalleki,20,105,Kapalleki   Achham   Nepal,81.2518833,29.0396219
Dahakalikasthan,18,106,Dahakalikasthan   Achham   Nepal,81.2518833,29.0396219
Jupu,18,106,Jupu   Achham   Nepal,81.30142839999999,29.1409547
Sukadhik,18,106,Sukadhik   Achham   Nepal,81.2518833,29.0396219
Ranagau,17,107,Ranagau   Achham   Nepal,81.2518833,29.0396219
Sivapur,15,108,Sivapur   Achham   Nepal,81.2518833,29.0396219
Amargadhi Municipality,14,109,Amargadhi Municipality   Achham   Nepal,81.2518833,29.0396219
Rahaph,14,109,Rahaph   Achham   Nepal,81.52,28.82
Sahajpur,13,110,Sahajpur   Achham   Nepal,81.2518833,29.0396219
Gairigaun,12,111,Gairigaun   Achham   Nepal,81.2518833,29.0396219
